⸮⸮Ƈ⸮,,V⸮L'k⸮&TY⸮z⸮⸮b|⸮ޗ⸮⸮t⸮⸮⸮5⸮⸮/⸮vB⸮0⸮',⸮eC⸮&⸮⸮քC⸮G⸮⸮V⸮⸮⸮`⸮⸮⸮:`⸮⸮&⸮-J⸮P⸮7fl|⸮⸮⸮`5
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#1#Round Trip Time#1001988#Encryption Time Sender#335#Decryption Time Sender#259#49592#49592#49592#Message:#98.28#  331 #
Packet Sent:#2#Round Trip Time#1005761#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#100.8#  327 #
Packet Sent:#3#Round Trip Time#1006057#Encryption Time Sender#333#Decryption Time Sender#291#49088#49088#49088#Message:#98.24#  327 #
Packet Sent:#4#Round Trip Time#1006107#Encryption Time Sender#331#Decryption Time Sender#290#49088#49088#49088#Message:#99.52#  327 #
Packet Sent:#5#Round Trip Time#1005961#Encryption Time Sender#334#Decryption Time Sender#295#49088#49088#49088#Message:#101.5#  328 #
Packet Sent:#6#Round Trip Time#1002051#Encryption Time Sender#240#Decryption Time Sender#259#49088#49088#49088#Message:#101.0#  327 #
Packet Sent:#7#Round Trip Time#1005913#Encryption Time Sender#329#Decryption Time Sender#294#49088#49088#49088#Message:#100.9#  327 #
Packet Sent:#8#Round Trip Time#1005790#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#99.05#  327 #
Packet Sent:#9#Round Trip Time#1006437#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#104.7#  323 #
Packet Sent:#10#Round Trip Time#1006209#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#101.7#  323 #
Packet Sent:#11#Round Trip Time#1005683#Encryption Time Sender#328#Decryption Time Sender#295#49088#49088#49088#Message:#102.1#  326 #
Packet Sent:#12#Round Trip Time#1005740#Encryption Time Sender#333#Decryption Time Sender#295#49088#49088#49088#Message:#102.5#  327 #
Packet Sent:#13#Round Trip Time#1005975#Encryption Time Sender#334#Decryption Time Sender#293#49088#49088#49088#Message:#102.0#  328 #
Packet Sent:#14#Round Trip Time#1005938#Encryption Time Sender#333#Decryption Time Sender#294#49088#49088#49088#Message:#101.7#  327 #
Packet Sent:#15#Round Trip Time#1005831#Encryption Time Sender#329#Decryption Time Sender#293#49088#49088#49088#Message:#102.5#  323 #
Packet Sent:#16#Round Trip Time#1006053#Encryption Time Sender#335#Decryption Time Sender#294#49088#49088#49088#Message:#102.4#  328 #
Packet Sent:#17#Round Trip Time#1005915#Encryption Time Sender#333#Decryption Time Sender#291#49088#49088#49088#Message:#102.6#  327 #
Packet Sent:#18#Round Trip Time#1006656#Encryption Time Sender#330#Decryption Time Sender#290#49088#48976#48976#Message:#102.5#  327 #
Packet Sent:#19#Round Trip Time#1001993#Encryption Time Sender#234#Decryption Time Sender#260#49088#49088#49088#Message:#101.7#  327 #
Packet Sent:#20#Round Trip Time#1005680#Encryption Time Sender#330#Decryption Time Sender#295#49088#49088#49088#Message:#102.0#  327 #
Packet Sent:#21#Round Trip Time#1005959#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#104.2#  326 #
Packet Sent:#22#Round Trip Time#1006065#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#101.7#  327 #
Packet Sent:#23#Round Trip Time#1005751#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#102.1#  341 #
Packet Sent:#24#Round Trip Time#1005633#Encryption Time Sender#329#Decryption Time Sender#296#49088#49088#49088#Message:#102.3#  327 #
Packet Sent:#25#Round Trip Time#1003222#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#100.3#  327 #
Packet Sent:#26#Round Trip Time#1005848#Encryption Time Sender#333#Decryption Time Sender#291#49088#49088#49088#Message:#101.8#  327 #
Packet Sent:#27#Round Trip Time#1006007#Encryption Time Sender#330#Decryption Time Sender#289#49088#49088#49088#Message:#101.7#  328 #
Packet Sent:#28#Round Trip Time#1002967#Encryption Time Sender#330#Decryption Time Sender#259#49088#49088#49088#Message:#101.5#  327 #
Packet Sent:#29#Round Trip Time#1005070#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#101.7#  327 #
Packet Sent:#30#Round Trip Time#1005960#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#101.7#  327 #
Packet Sent:#31#Round Trip Time#1003068#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#101.9#  327 #
Packet Sent:#32#Round Trip Time#1005989#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#102.3#  328 #
Packet Sent:#33#Round Trip Time#1005940#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#102.4#  327 #
Packet Sent:#34#Round Trip Time#1003098#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#102.0#  327 #
Packet Sent:#35#Round Trip Time#1006581#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#102.2#  327 #
Packet Sent:#36#Round Trip Time#1007162#Encryption Time Sender#330#Decryption Time Sender#291#49088#48976#48976#Message:#101.8#  327 #
Packet Sent:#37#Round Trip Time#1005962#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#102.0#  326 #
Packet Sent:#38#Round Trip Time#1005884#Encryption Time Sender#331#Decryption Time Sender#295#49088#49088#49088#Message:#102.1#  327 #
Packet Sent:#39#Round Trip Time#1006015#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#101.8#  327 #
