Packet Sent:#1#Round Trip Time#164735#Encryption Time Sender#351#Encryption Time Sender#257#50128#50128#50128#Message:#11.23#   363#
Packet Sent:#2#Round Trip Time#160249#Encryption Time Sender#136#Encryption Time Sender#213#50128#50128#50128#Message:#11.23#   252#
Packet Sent:#3#Round Trip Time#164495#Encryption Time Sender#146#Encryption Time Sender#204#50128#50128#50128#Message:#11.08#   280#
Packet Sent:#4#Round Trip Time#166877#Encryption Time Sender#136#Encryption Time Sender#216#50128#50128#50128#Message:#11.04#   279#
Packet Sent:#5#Round Trip Time#170983#Encryption Time Sender#145#Encryption Time Sender#203#50128#50128#50128#Message:#11.27#   252#
Packet Sent:#6#Round Trip Time#164295#Encryption Time Sender#140#Encryption Time Sender#212#50128#50128#50128#Message:#11.07#   278#
Packet Sent:#7#Round Trip Time#171274#Encryption Time Sender#146#Encryption Time Sender#207#50128#50128#50128#Message:#11.22#   280#
Packet Sent:#8#Round Trip Time#165003#Encryption Time Sender#137#Encryption Time Sender#212#50128#50128#50128#Message:#11.18#   256#
Packet Sent:#9#Round Trip Time#167154#Encryption Time Sender#145#Encryption Time Sender#203#50128#50128#50128#Message:#11.19#   290#
Packet Sent:#10#Round Trip Time#166603#Encryption Time Sender#137#Encryption Time Sender#215#50128#50128#50128#Message:#11.04#   283#
Packet Sent:#11#Round Trip Time#168564#Encryption Time Sender#146#Encryption Time Sender#204#50128#50128#50128#Message:#11.13#   264#
Packet Sent:#12#Round Trip Time#165050#Encryption Time Sender#142#Encryption Time Sender#251#50128#49624#49624#Message:#11.08#   284#
Packet Sent:#13#Round Trip Time#166605#Encryption Time Sender#153#Encryption Time Sender#231#49624#49624#49624#Message:#11.10#   283#
Packet Sent:#14#Round Trip Time#166521#Encryption Time Sender#140#Encryption Time Sender#243#49624#49512#49512#Message:#11.05#   284#
Packet Sent:#15#Round Trip Time#166456#Encryption Time Sender#146#Encryption Time Sender#228#49512#49624#49624#Message:#11.16#   248#
Packet Sent:#16#Round Trip Time#166703#Encryption Time Sender#140#Encryption Time Sender#244#49624#49624#49624#Message:#11.14#   283#
Packet Sent:#17#Round Trip Time#166092#Encryption Time Sender#146#Encryption Time Sender#227#49624#49624#49624#Message:#11.22#   283#
Packet Sent:#18#Round Trip Time#167649#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.16#   256#
Packet Sent:#19#Round Trip Time#165149#Encryption Time Sender#147#Encryption Time Sender#223#49624#49624#49624#Message:#11.13#   284#
Packet Sent:#20#Round Trip Time#166453#Encryption Time Sender#140#Encryption Time Sender#248#49624#49624#49624#Message:#11.07#   283#
Packet Sent:#21#Round Trip Time#166333#Encryption Time Sender#145#Encryption Time Sender#224#49624#49624#49624#Message:#11.04#   260#
Packet Sent:#22#Round Trip Time#168426#Encryption Time Sender#141#Encryption Time Sender#244#49624#49624#49624#Message:#11.15#   284#
Packet Sent:#23#Round Trip Time#168163#Encryption Time Sender#150#Encryption Time Sender#228#49624#49624#49624#Message:#11.23#   284#
Packet Sent:#24#Round Trip Time#163149#Encryption Time Sender#140#Encryption Time Sender#244#49624#49624#49624#Message:#11.18#   260#
Packet Sent:#25#Round Trip Time#166444#Encryption Time Sender#145#Encryption Time Sender#224#49624#49624#49624#Message:#11.10#   283#
Packet Sent:#26#Round Trip Time#166300#Encryption Time Sender#140#Encryption Time Sender#247#49624#49624#49624#Message:#11.08#   264#
Packet Sent:#27#Round Trip Time#168024#Encryption Time Sender#147#Encryption Time Sender#224#49624#49624#49624#Message:#11.13#   285#
