Packet Sent:#1#Round Trip Time#39600#Encryption Time Sender#194#Encryption Time Sender#130#50136#50136#50136#Message:#101.8#   206#
Packet Sent:#2#Round Trip Time#323600#Encryption Time Sender#80#Encryption Time Sender#102#50136#50136#50136#Message:#101.7#   154#
Packet Sent:#3#Round Trip Time#281162#Encryption Time Sender#72#Encryption Time Sender#98#50136#50136#50136#Message:#101.9#   147#
Packet Sent:#4#Round Trip Time#308121#Encryption Time Sender#72#Encryption Time Sender#102#50136#50136#50136#Message:#101.6#   151#
Packet Sent:#5#Round Trip Time#301974#Encryption Time Sender#73#Encryption Time Sender#98#50136#50136#50136#Message:#101.8#   146#
Packet Sent:#6#Round Trip Time#301422#Encryption Time Sender#72#Encryption Time Sender#102#50136#50136#50136#Message:#101.7#   151#
Packet Sent:#7#Round Trip Time#304131#Encryption Time Sender#72#Encryption Time Sender#99#50136#50136#50136#Message:#101.8#   146#
Packet Sent:#8#Round Trip Time#301386#Encryption Time Sender#72#Encryption Time Sender#102#50136#50136#50136#Message:#101.6#   155#
Packet Sent:#9#Round Trip Time#304188#Encryption Time Sender#73#Encryption Time Sender#98#50136#50136#50136#Message:#101.7#   143#
Packet Sent:#10#Round Trip Time#301038#Encryption Time Sender#72#Encryption Time Sender#102#50136#50136#50136#Message:#101.7#   154#
Packet Sent:#11#Round Trip Time#307277#Encryption Time Sender#72#Encryption Time Sender#98#50136#50136#50136#Message:#101.8#   147#
Packet Sent:#12#Round Trip Time#301841#Encryption Time Sender#76#Encryption Time Sender#103#50136#50024#50024#Message:#101.7#   155#
Packet Sent:#13#Round Trip Time#300577#Encryption Time Sender#72#Encryption Time Sender#106#50024#49632#49632#Message:#101.6#   147#
Packet Sent:#14#Round Trip Time#352365#Encryption Time Sender#72#Encryption Time Sender#138#49632#49632#49632#Message:#101.5#   150#
Packet Sent:#15#Round Trip Time#300751#Encryption Time Sender#80#Encryption Time Sender#130#49632#49632#49632#Message:#101.6#   155#
Packet Sent:#16#Round Trip Time#300883#Encryption Time Sender#72#Encryption Time Sender#130#49632#49632#49632#Message:#101.7#   150#
Packet Sent:#17#Round Trip Time#304006#Encryption Time Sender#76#Encryption Time Sender#129#49632#49632#49632#Message:#101.7#   151#
Packet Sent:#18#Round Trip Time#297971#Encryption Time Sender#77#Encryption Time Sender#129#49632#49632#49632#Message:#101.4#   170#
Packet Sent:#19#Round Trip Time#300724#Encryption Time Sender#81#Encryption Time Sender#129#49632#49632#49632#Message:#101.8#   174#
Packet Sent:#20#Round Trip Time#300634#Encryption Time Sender#81#Encryption Time Sender#130#49632#49632#49632#Message:#101.6#   174#
Packet Sent:#21#Round Trip Time#300886#Encryption Time Sender#76#Encryption Time Sender#130#49632#49632#49632#Message:#101.6#   174#
Packet Sent:#22#Round Trip Time#300924#Encryption Time Sender#72#Encryption Time Sender#130#49632#49632#49632#Message:#101.2#   167#
Packet Sent:#23#Round Trip Time#301104#Encryption Time Sender#84#Encryption Time Sender#130#49632#49632#49632#Message:#101.0#   175#
